sample_row_id,sample_date,sample_time,sample_datetime,raw_sampling_site,site_name,major_category,sample_location,chlorophyll_ugl_replicate_1,chlorophyll_ugl_replicate_2,chlorophyll_ugl_replicate_3,chlorophyll_ugl_mean,chlorophyll_ugl_std,chlorophyll_ugl_min,chlorophyll_ugl_max,chlorophyll_ugl_replicate_count,phycocyanin_ugl_replicate_1,phycocyanin_ugl_replicate_2,phycocyanin_ugl_replicate_3,phycocyanin_ugl_mean,phycocyanin_ugl_std,phycocyanin_ugl_min,phycocyanin_ugl_max,phycocyanin_ugl_replicate_count,phycocyanin_to_chlorophyll_ratio_replicate_1,phycocyanin_to_chlorophyll_ratio_replicate_2,phycocyanin_to_chlorophyll_ratio_replicate_3,phycocyanin_to_chlorophyll_ratio_mean,phycocyanin_to_chlorophyll_ratio_std,phycocyanin_to_chlorophyll_ratio_min,phycocyanin_to_chlorophyll_ratio_max,phycocyanin_to_chlorophyll_ratio_replicate_count,sample_depth_feet,water_temperature_c,ph,orp_mv,specific_conductivity_us_cm,dissolved_oxygen_mg_l,turbidity_ntu,x_coordinate,y_coordinate
sample_0080,2023-08-15,12:51,2023-08-15T12:51,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.63,0.7,0.58,0.636667,0.060277,0.58,0.7,3,19.04,19.65,14.52,17.736667,2.802362,14.52,19.65,3,30.22,28.07,25.03,27.773333,2.607687,25.03,30.22,3,0.2,,,,,,,-71.435608,41.793252
sample_0081,2023-08-16,12:09,2023-08-16T12:09,Willow_Lake,Willow Lake,Category_1,shore,5.77,5.25,4.75,5.256667,0.510033,4.75,5.77,3,401.3,364.3,334.5,366.7,33.464608,334.5,401.3,3,69.4,69.39,70.42,69.736667,0.591805,69.39,70.42,3,0.5,,,,,,,-71.414796,41.7844
sample_0082,2023-08-30,08:04,2023-08-30T08:04,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.53,0.59,0.32,0.48,0.141774,0.32,0.59,3,10,4.06,1.2,5.086667,4.488935,1.2,10,3,18.85,6.88,3.75,9.826667,7.969607,3.75,18.85,3,0.2,,,,,,,-71.415617,41.78453
sample_0083,2023-09-01,12:16,2023-09-01T12:16,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.8,0.92,0.88,0.866667,0.061101,0.8,0.92,3,15.34,17.19,13.28,15.27,1.95594,13.28,17.19,3,19.17,18.63,15.09,17.63,2.216213,15.09,19.17,3,0.2,,,,,,,-71.44271,41.79039
sample_0084,2023-09-01,12:29,2023-09-01T12:29,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.72,0.78,0.83,0.776667,0.055076,0.72,0.83,3,9.79,13.49,12.26,11.846667,1.884312,9.79,13.49,3,13.5,17.2,14.77,15.156667,1.880062,13.5,17.2,3,0.2,,,,,,,-71.43253,41.79393
sample_0085,2023-09-11,10:59,2023-09-11T10:59,Spectacle_Pond,Spectacle Pond,Category_2,shore,1.17,0.79,1.14,1.033333,0.211266,0.79,1.17,3,19.45,11.64,19.86,16.983333,4.632001,11.64,19.86,3,16.62,14.73,17.42,16.256667,1.381316,14.73,17.42,3,0.2,,,,,,,-71.44271,41.79039
sample_0086,2023-09-11,11:11,2023-09-11T11:11,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.52,0.46,0.49,0.49,0.03,0.46,0.52,3,19.04,17.39,17.19,17.873333,1.0153,17.19,19.04,3,36.61,37.8,35.04,36.483333,1.384353,35.04,37.8,3,0.2,,,,,,,-71.43253,41.79393
sample_0087,2023-09-14,08:09,2023-09-14T08:09,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,2.94,1.14,1.45,1.843333,0.962306,1.14,2.94,3,30.34,26.23,19.86,25.476667,5.280458,19.86,30.34,3,10.31,23,13.69,15.666667,6.571867,10.31,23,3,0.2,,,,,,,-71.41697,41.7828
sample_0088,2023-09-26,08:00,2023-09-26T08:00,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,1,0.69,0.56,0.75,0.226053,0.56,1,3,33.42,23.76,41.23,32.803333,8.75131,23.76,41.23,3,33.42,34.43,74.96,47.603333,23.69695,33.42,74.96,3,0.2,,,,,,,-71.41697,41.7828
sample_0089,2023-09-28,10:50,2023-09-28T10:50,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.62,0.94,0.5,0.686667,0.22745,0.5,0.94,3,16.78,19.24,10.61,15.543333,4.445923,10.61,19.24,3,27.06,20.46,21.22,22.913333,3.611168,20.46,27.06,3,0.2,,,,,,,-71.443864,41.78773
sample_0090,2023-09-28,11:09,2023-09-28T11:09,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.4,0.28,0.43,0.37,0.079373,0.28,0.43,3,24.17,23.15,23.15,23.49,0.588897,23.15,24.17,3,48.22,82.57,53.83,61.54,18.427254,48.22,82.57,3,0.2,,,,,,,-71.435494,41.792272
sample_0091,2024-06-14,08:31,2024-06-14T08:31,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.8,0.9,0.77,0.823333,0.068069,0.77,0.9,3,10,5.75,6.5,7.416667,2.268443,5.75,10,3,12.5,6.38,8.44,9.106667,3.11399,6.38,12.5,3,0.3,,,,,,,-71.415767,41.784521
sample_0092,2024-06-14,09:29,2024-06-14T09:29,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.23,2.11,2.46,2.266667,0.177858,2.11,2.46,3,23.42,23.92,29.39,25.576667,3.311893,23.42,29.39,3,10.5,11.33,11.94,11.256667,0.722795,10.5,11.94,3,0.3,,,,,,,-71.414186,41.777048
sample_0093,2024-06-14,09:41,2024-06-14T09:41,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,1.59,1.44,1.46,1.496667,0.081445,1.44,1.59,3,3.57,6.25,5.5,5.106667,1.382618,3.57,6.25,3,2.35,4.34,3.76,3.483333,1.023442,2.35,4.34,3,0.3,,,,,,,-71.414754,41.777775
sample_0094,2024-06-14,09:07,2024-06-14T09:07,Polo_Lake,Polo Lake,Category_1,shore,5.64,5.34,5.08,5.353333,0.280238,5.08,5.64,3,7.25,5.75,5.25,6.083333,1.040833,5.25,7.25,3,1.28,1.07,1.03,1.126667,0.134288,1.03,1.28,3,0.3,,,,,,,-71.41537,41.78686
sample_0095,2024-06-14,11:16,2024-06-14T11:16,Fenner_Pond,Fenner Pond,Category_1,shore,0.66,0.75,0.62,0.676667,0.066583,0.62,0.75,3,1.25,3.25,1.25,1.916667,1.154701,1.25,3.25,3,1.89,4.33,2.01,2.743333,1.375403,1.89,4.33,3,0.5,,,,,,,-71.41987,41.77198
sample_0096,2024-06-14,10:07,2024-06-14T10:07,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.44,0.47,0.49,0.466667,0.025166,0.44,0.49,3,3,2.25,3,2.75,0.433013,2.25,3,3,6.81,4.78,6.12,5.903333,1.032198,4.78,6.81,3,0.3,,,,,,,-71.43253,41.79393
sample_0097,2024-06-21,08:50,2024-06-21T08:50,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.83,0.84,0.82,0.83,0.01,0.82,0.84,3,3.75,3.5,3.25,3.5,0.25,3.25,3.75,3,4.51,4.16,4.06,4.243333,0.236291,4.06,4.51,3,0.5,,,,,,,-71.415698,41.784412
sample_0098,2024-06-21,09:15,2024-06-21T09:15,Polo_Lake,Polo Lake,Category_1,shore,2.71,2.73,2.81,2.75,0.052915,2.71,2.81,3,12.48,15.46,13.97,13.97,1.49,12.48,15.46,3,4.6,5.66,4.97,5.076667,0.53799,4.6,5.66,3,0.3,,,,,,,-71.414925,41.786485
sample_0099,2024-06-21,10:35,2024-06-21T10:35,Fenner_Pond,Fenner Pond,Category_1,shore,0.45,0.53,0.47,0.483333,0.041633,0.45,0.53,3,0.32,0.1,1.25,0.556667,0.610437,0.1,1.25,3,0.71,0.18,2.65,1.18,1.300346,0.18,2.65,3,0.3,,,,,,,-71.420444,41.769833
sample_0100,2024-06-21,11:09,2024-06-21T11:09,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.58,0.57,0.57,0.573333,0.005774,0.57,0.58,3,4.75,4,7.5,5.416667,1.842779,4,7.5,3,8.18,7.01,13.15,9.446667,3.260097,7.01,13.15,3,0.5,,,,,,,-71.436617,41.794132
sample_0101,2024-06-21,11:24,2024-06-21T11:24,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.7,0.49,0.95,0.713333,0.23029,0.49,0.95,3,1.5,1.25,0.55,1.1,0.492443,0.55,1.5,3,2.14,2.55,0.57,1.753333,1.0451,0.57,2.55,3,0.5,,,,,,,-71.440476,41.788758
sample_0102,2024-06-21,12:00,2024-06-21T12:00,Tongue_Pond,Tongue Pond,Category_2,shore,0.96,1.06,1.02,1.013333,0.050332,0.96,1.06,3,2.5,1.25,1.25,1.666667,0.721688,1.25,2.5,3,2.6,1.17,1.22,1.663333,0.811562,1.17,2.6,3,0.3,,,,,,,-71.443852,41.798762
sample_0103,2024-06-21,09:55,2024-06-21T09:55,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,0.91,0.75,0.78,0.813333,0.085049,0.75,0.91,3,8.5,5.5,5,6.333333,1.892969,5,8.5,3,9.34,7.33,6.41,7.693333,1.49841,6.41,9.34,3,0.3,,,,,,,-71.415,41.777556
sample_0104,2024-06-21,09:36,2024-06-21T09:36,Cunliff_Lake,Cunliff Lake,Category_1,shore,3.15,3.13,3.16,3.146667,0.015275,3.13,3.16,3,270.19,264.72,256.75,263.886667,6.758641,256.75,270.19,3,85.77,84.57,81.25,83.863333,2.341396,81.25,85.77,3,0.3,,,,,,,-71.414263,41.777273
sample_0105,2024-06-28,08:40,2024-06-28T08:40,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.75,0.78,0.8,0.776667,0.025166,0.75,0.8,3,4,5.5,5.75,5.083333,0.946485,4,5.75,3,5.33,7.05,7.18,6.52,1.032618,5.33,7.18,3,0.3,,,,,,,-71.415786,41.784453
sample_0106,2024-06-28,09:00,2024-06-28T09:00,Polo_Lake,Polo Lake,Category_1,shore,2.51,2.73,2.63,2.623333,0.110151,2.51,2.73,3,15.22,9.75,9.5,11.49,3.232692,9.5,15.22,3,6.06,3.57,3.61,4.413333,1.426195,3.57,6.06,3,0.5,,,,,,,-71.414929,41.786526
sample_0107,2024-06-28,09:32,2024-06-28T09:32,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.32,2.21,2.09,2.206667,0.115036,2.09,2.32,3,80.6,80.6,78.12,79.773333,1.431829,78.12,80.6,3,34.74,36.47,37.37,36.193333,1.33665,34.74,37.37,3,0.5,,,,,,,-71.413998,41.777196
sample_0108,2024-06-28,09:49,2024-06-28T09:49,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,1.02,1.07,1.17,1.086667,0.076376,1.02,1.17,3,15.22,15.71,13.23,14.72,1.313431,13.23,15.71,3,14.92,14.68,11.3,13.633333,2.024286,11.3,14.92,3,0.5,,,,,,,-71.414747,41.777853
sample_0109,2024-06-28,10:10,2024-06-28T10:10,Fenner_Pond,Fenner Pond,Category_1,shore,0.64,0.65,0.62,0.636667,0.015275,0.62,0.65,3,1.5,1.25,1.5,1.416667,0.144338,1.25,1.5,3,2.34,1.92,2.41,2.223333,0.265016,1.92,2.41,3,0.3,,,,,,,-71.420306,41.769944
sample_0110,2024-06-28,10:35,2024-06-28T10:35,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.6,0.6,0.63,0.61,0.017321,0.6,0.63,3,3.75,3.75,6.75,4.75,1.732051,3.75,6.75,3,6.25,6.25,10.71,7.736667,2.574982,6.25,10.71,3,0.3,,,,,,,-71.435331,41.793582
sample_0111,2024-06-28,10:48,2024-06-28T10:48,Spectacle_Pond,Spectacle Pond,Category_2,shore,1.26,1.12,1.18,1.186667,0.070238,1.12,1.26,3,9.75,6,12.73,9.493333,3.372334,6,12.73,3,7.73,5.35,10.78,7.953333,2.72188,5.35,10.78,3,0.3,,,,,,,-71.441534,41.788361
sample_0112,2024-06-28,11:08,2024-06-28T11:08,Tongue_Pond,Tongue Pond,Category_2,shore,1.9,1.88,1.79,1.856667,0.058595,1.79,1.9,3,0.32,0.32,0.77,0.47,0.259808,0.32,0.77,3,0.16,0.17,0.43,0.253333,0.15308,0.16,0.43,3,0.3,,,,,,,-71.442058,41.797781
sample_0113,2024-07-03,08:34,2024-07-03T08:34,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.98,0.89,0.95,0.94,0.045826,0.89,0.98,3,18.7,16.46,23.17,19.443333,3.416202,16.46,23.17,3,19.08,18.49,24.38,20.65,3.243717,18.49,24.38,3,0.3,,,,,,,-71.415656,41.784462
sample_0114,2024-07-03,08:52,2024-07-03T08:52,Polo_Lake,Polo Lake,Category_1,shore,3.77,3.61,3.68,3.686667,0.080208,3.61,3.77,3,9.75,12.23,12.48,11.486667,1.509183,9.75,12.48,3,2.58,3.38,3.39,3.116667,0.464794,2.58,3.39,3,0.5,,,,,,,-71.415028,41.786694
sample_0115,2024-07-03,09:10,2024-07-03T09:10,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.3,2.2,2.4,2.3,0.1,2.2,2.4,3,95.5,91.79,96.27,94.52,2.395391,91.79,96.27,3,41.53,41.72,40.11,41.12,0.87983,40.11,41.72,3,0.5,,,,,,,-71.414054,41.777227
sample_0116,2024-07-03,10:11,2024-07-03T10:11,Fenner_Pond,Fenner Pond,Category_1,shore,0.58,0.6,0.5,0.56,0.052915,0.5,0.6,3,1,2.5,0.77,1.423333,0.939486,0.77,2.5,3,1.72,4.16,1.5,2.46,1.476347,1.5,4.16,3,0.3,,,,,,,-71.420444,41.769833
sample_0117,2024-07-03,10:58,2024-07-03T10:58,Spectacle_Pond,Spectacle Pond,Category_2,shore,1.81,1.79,1.6,1.733333,0.115902,1.6,1.81,3,36.85,34.61,36.35,35.936667,1.175812,34.61,36.85,3,20.35,19.33,22.71,20.796667,1.733705,19.33,22.71,3,0.2,,,,,,,-71.441212,41.789102
sample_0118,2024-07-03,11:01,2024-07-03T11:01,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.53,0.48,0.53,0.513333,0.028868,0.48,0.53,3,8.5,5.75,7.5,7.25,1.391941,5.75,8.5,3,16.03,11.97,14.15,14.05,2.031846,11.97,16.03,3,0.5,,,,,,,-71.435301,41.793735
sample_0119,2024-07-03,11:18,2024-07-03T11:18,Tongue_Pond,Tongue Pond,Category_2,shore,2.34,2.56,2.2,2.366667,0.181475,2.2,2.56,3,1.25,2.5,1,1.583333,0.803638,1,2.5,3,0.53,0.97,0.45,0.65,0.28,0.45,0.97,3,0.5,,,,,,,-71.442056,41.797778
sample_0120,2024-07-03,09:30,2024-07-03T09:30,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,7.54,7.42,8,7.653333,0.306159,7.42,8,3,744.45,749.43,776.8,756.893333,17.418572,744.45,776.8,3,98.73,101,97.1,98.943333,1.958733,97.1,101,3,0.2,,,,,,,-71.414747,41.777853
sample_0121,2024-07-12,08:44,2024-07-12T08:44,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.73,0.86,0.89,0.826667,0.085049,0.73,0.89,3,17.2,18.7,18.95,18.283333,0.946485,17.2,18.95,3,23.56,21.74,21.29,22.196667,1.201929,21.29,23.56,3,0.3,,,,,,,-71.435183,41.794057
sample_0122,2024-07-12,09:11,2024-07-12T09:11,Tongue_Pond,Tongue Pond,Category_2,shore,2.73,2.84,3.13,2.9,0.20664,2.73,3.13,3,1.5,1.25,1.25,1.333333,0.144338,1.25,1.5,3,0.54,0.44,0.39,0.456667,0.076376,0.39,0.54,3,0.3,,,,,,,-71.442056,41.797778
sample_0123,2024-07-12,10:01,2024-07-12T10:01,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.8,1.06,0.79,0.883333,0.15308,0.79,1.06,3,6.5,18.45,8,10.983333,6.509672,6.5,18.45,3,8.12,17.4,10.12,11.88,4.883933,8.12,17.4,3,0.3,,,,,,,-71.441569,41.788395
sample_0124,2024-07-12,10:30,2024-07-12T10:30,Fenner_Pond,Fenner Pond,Category_1,shore,1.01,0.91,0.82,0.913333,0.095044,0.82,1.01,3,6,3.75,2.25,4,1.887459,2.25,6,3,5.94,4.12,2.74,4.266667,1.605034,2.74,5.94,3,0.3,,,,,,,-71.420444,41.769833
sample_0125,2024-07-12,11:04,2024-07-12T11:04,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,1.33,1.22,1.08,1.21,0.1253,1.08,1.33,3,4.75,0.55,3.75,3.016667,2.193931,0.55,4.75,3,3.57,0.45,3.47,2.496667,1.77317,0.45,3.57,3,0.5,,,,,,,-71.415646,41.784584
sample_0126,2024-07-12,11:24,2024-07-12T11:24,Polo_Lake,Polo Lake,Category_1,shore,2.38,2.25,2.11,2.246667,0.135031,2.11,2.38,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.04,0.04,0.04,0.04,0,0.04,0.04,3,0.3,,,,,,,-71.41565,41.786143
sample_0127,2024-07-12,11:41,2024-07-12T11:41,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.19,2.17,2.25,2.203333,0.041633,2.17,2.25,3,28.64,34.11,33.12,31.956667,2.914658,28.64,34.11,3,13.07,15.71,14.72,14.5,1.333679,13.07,15.71,3,0.3,,,,,,,-71.415711,41.778217
sample_0128,2024-07-12,11:53,2024-07-12T11:53,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,1.55,1.51,1.38,1.48,0.088882,1.38,1.55,3,24.66,21.43,21.93,22.673333,1.738572,21.43,24.66,3,15.9,14.11,15.89,15.3,1.030582,14.11,15.9,3,0.3,,,,,,,-71.414836,41.777378
sample_0129,2024-07-18,08:50,2024-07-18T08:50,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0,0.94,0.8,0.58,0.507149,0,0.94,3,4.75,9,5.5,6.416667,2.268443,4.75,9,3,,9.57,6.87,8.22,1.909188,6.87,9.57,2,0.3,,,,,,,-71.4155,41.784583
sample_0130,2024-07-18,09:18,2024-07-18T09:18,Polo_Lake,Polo Lake,Category_1,shore,3.51,3.37,3.22,3.366667,0.145029,3.22,3.51,3,5.5,5,7.25,5.916667,1.181454,5,7.25,3,1.56,1.48,2.25,1.763333,0.42336,1.48,2.25,3,0.3,,,,,,,-71.415028,41.786694
sample_0131,2024-07-18,09:38,2024-07-18T09:38,Cunliff_Lake,Cunliff Lake,Category_1,shore,0.73,0.54,0.68,0.65,0.098489,0.54,0.73,3,63.95,33.37,50.52,49.28,15.327665,33.37,63.95,3,87.6,61.79,74.29,74.56,12.907118,61.79,87.6,3,0.3,,,,,,,-71.414222,41.777278
sample_0132,2024-07-18,09:51,2024-07-18T09:51,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,0.56,1.11,0.79,0.82,0.276225,0.56,1.11,3,7,9.25,9.25,8.5,1.299038,7,9.25,3,12.5,8.33,11.7,10.843333,2.21306,8.33,12.5,3,0.3,,,,,,,-71.41475,41.777861
sample_0133,2024-07-18,10:41,2024-07-18T10:41,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0,0,0,0,0,0,0,3,25.91,32.87,29.64,29.473333,3.482992,25.91,32.87,3,,,,,,,,0,0.3,,,,,,,-71.435361,41.794056
sample_0134,2024-07-18,10:16,2024-07-18T10:16,Fenner_Pond,Fenner Pond,Category_1,shore,0,0,0,0,0,0,0,3,1,2.75,1.25,1.666667,0.946485,1,2.75,3,,,,,,,,0,0.3,,,,,,,-71.420455,41.769842
sample_0135,2024-07-18,10:58,2024-07-18T10:58,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.41,0.44,0.47,0.44,0.03,0.41,0.47,3,3,5.75,8.25,5.666667,2.625992,3,8.25,3,7.31,13.06,17.55,12.64,5.132904,7.31,17.55,3,0.3,,,,,,,-71.441571,41.788514
sample_0136,2024-07-18,11:18,2024-07-18T11:18,Tongue_Pond,Tongue Pond,Category_2,shore,2.45,1.92,1.73,2.033333,0.37314,1.73,2.45,3,7.75,7.5,4.5,6.583333,1.808545,4.5,7.75,3,3.16,3.9,2.6,3.22,0.652074,2.6,3.9,3,0.3,,,,,,,-71.44222,41.797859
sample_0137,2024-07-26,08:38,2024-07-26T08:38,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,1.49,1.32,1.4,1.403333,0.085049,1.32,1.49,3,41.07,36.6,45.55,41.073333,4.475001,36.6,45.55,3,27.56,27.72,32.53,29.27,2.824376,27.56,32.53,3,0.3,,,,,,,-71.435374,41.793314
sample_0138,2024-07-26,09:07,2024-07-26T09:07,Tongue_Pond,Tongue Pond,Category_2,shore,1.51,1.47,1.53,1.503333,0.030551,1.47,1.53,3,4.5,2.25,3,3.25,1.145644,2.25,4.5,3,2.98,1.53,1.96,2.156667,0.744737,1.53,2.98,3,0.5,,,,,,,-71.442056,41.797778
sample_0139,2024-07-26,09:23,2024-07-26T09:23,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.87,0.97,0.87,0.903333,0.057735,0.87,0.97,3,39.08,33.61,40.32,37.67,3.570308,33.61,40.32,3,44.91,34.61,46.91,42.143333,6.600253,34.61,46.91,3,0.3,,,,,,,-71.441586,41.788584
sample_0140,2024-07-26,09:52,2024-07-26T09:52,Fenner_Pond,Fenner Pond,Category_1,shore,0.78,1.09,0.73,0.866667,0.195021,0.73,1.09,3,1.25,1.75,2,1.666667,0.381881,1.25,2,3,1.6,1.6,2.73,1.976667,0.652406,1.6,2.73,3,0.3,,,,,,,-71.420444,41.769833
sample_0141,2024-07-26,11:05,2024-07-26T11:05,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,1.21,1.51,1.3,1.34,0.153948,1.21,1.51,3,9.5,8.75,12.48,10.243333,1.972976,8.75,12.48,3,7.85,5.79,9.6,7.746667,1.907101,5.79,9.6,3,0.3,,,,,,,-71.4155,41.784583
sample_0142,2024-07-26,11:25,2024-07-26T11:25,Polo_Lake,Polo Lake,Category_1,shore,3.12,2.01,2.82,2.65,0.574195,2.01,3.12,3,16.16,18.95,18.2,17.77,1.443849,16.16,18.95,3,5.43,6.74,6.45,6.206667,0.688065,5.43,6.74,3,0.3,,,,,,,-71.414825,41.786835
sample_0143,2024-07-26,11:44,2024-07-26T11:44,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.81,1.74,1.87,1.806667,0.065064,1.74,1.87,3,53.25,48.28,62.7,54.743333,7.325069,48.28,62.7,3,29.41,27.74,33.52,30.223333,2.974598,27.74,33.52,3,0.3,,,,,,,-71.413969,41.777216
sample_0144,2024-07-26,11:52,2024-07-26T11:52,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,2.62,3.13,2.47,2.74,0.345977,2.47,3.13,3,18.7,14.79,17.45,16.98,1.996923,14.79,18.7,3,7.13,4.78,7.06,6.323333,1.337024,4.78,7.13,3,0.3,,,,,,,-71.41475,41.777861
sample_0145,2024-08-01,08:36,2024-08-01T08:36,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,2.97,4.06,3.58,3.536667,0.546291,2.97,4.06,3,25.91,17.7,23.17,22.26,4.179964,17.7,25.91,3,8.72,4.35,6.47,6.513333,2.185322,4.35,8.72,3,0.3,,,,,,,-71.415722,41.784524
sample_0146,2024-08-01,09:01,2024-08-01T09:01,Polo_Lake,Polo Lake,Category_1,shore,3.25,3.28,2.99,3.173333,0.159478,2.99,3.28,3,27.9,32.37,33.86,31.376667,3.101682,27.9,33.86,3,8.58,9.86,11.32,9.92,1.370985,8.58,11.32,3,0.3,,,,,,,-71.415548,41.786153
sample_0147,2024-08-01,09:16,2024-08-01T09:16,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.25,2.67,2.41,2.443333,0.211975,2.25,2.67,3,23.42,24.66,23.17,23.75,0.797935,23.17,24.66,3,10.4,9.23,9.61,9.746667,0.596853,9.23,10.4,3,0.3,,,,,,,-71.415711,41.778217
sample_0148,2024-08-01,09:29,2024-08-01T09:29,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,1.86,1.88,1.96,1.9,0.052915,1.86,1.96,3,36.1,34.36,37.59,36.016667,1.616612,34.36,37.59,3,19.4,18.27,19.17,18.946667,0.597188,18.27,19.4,3,0.3,,,,,,,-71.415711,41.778217
sample_0149,2024-08-01,09:58,2024-08-01T09:58,Fenner_Pond,Fenner Pond,Category_1,shore,0.95,0.94,0.89,0.926667,0.032146,0.89,0.95,3,2.5,2.25,2.5,2.416667,0.144338,2.25,2.5,3,2.63,2.39,2.8,2.606667,0.205994,2.39,2.8,3,0.3,,,,,,,-71.420327,41.769964
sample_0150,2024-08-01,10:16,2024-08-01T10:16,Spectacle_Pond,Spectacle Pond,Category_2,shore,1.08,1.27,1.21,1.186667,0.097125,1.08,1.27,3,52.51,61.96,55,56.49,4.89803,52.51,61.96,3,48.62,48.78,45.45,47.616667,1.878093,45.45,48.78,3,0.3,,,,,,,-71.441576,41.78827
sample_0151,2024-08-01,10:41,2024-08-01T10:41,Tongue_Pond,Tongue Pond,Category_2,shore,1.09,1.42,1.08,1.196667,0.193477,1.08,1.42,3,6.5,14.72,4.75,8.656667,5.323404,4.75,14.72,3,5.96,10.36,4.39,6.903333,3.094775,4.39,10.36,3,0.3,,,,,,,-71.415711,41.778217
sample_0152,2024-08-01,11:00,2024-08-01T11:00,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.7,0.79,0.54,0.676667,0.126623,0.54,0.79,3,11.74,17.7,8.75,12.73,4.556391,8.75,17.7,3,16.77,22.4,16.2,18.456667,3.426899,16.2,22.4,3,0.3,,,,,,,-71.415711,41.778217
sample_0153,2024-08-15,09:40,2024-08-15T09:40,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,2.31,2.31,2.28,2.3,0.017321,2.28,2.31,3,168.42,161.21,156.73,162.12,5.897889,156.73,168.42,3,72.9,69.78,68.74,70.473333,2.164933,68.74,72.9,3,0.2,,,,,,,-71.41578,41.784409
sample_0154,2024-08-15,09:58,2024-08-15T09:58,Polo_Lake,Polo Lake,Category_1,shore,3.91,4.08,4.23,4.073333,0.160104,3.91,4.23,3,16.21,10.74,12.98,13.31,2.749891,10.74,16.21,3,4.14,2.63,3.06,3.276667,0.777967,2.63,4.14,3,0.2,,,,,,,-71.415436,41.786145
sample_0155,2024-08-15,10:26,2024-08-15T10:26,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.09,1.95,2.09,2.043333,0.080829,1.95,2.09,3,59.22,43.81,50.02,51.016667,7.753195,43.81,59.22,3,28.33,22.46,23.93,24.906667,3.054445,22.46,28.33,3,0.2,,,,,,,-71.414268,41.777047
sample_0156,2024-08-15,10:39,2024-08-15T10:39,Deep_Spring_Lake,Deep Spring Lake,Category_1,shore,6.13,5.9,6.21,6.08,0.160935,5.9,6.21,3,584.71,565.3,563.06,571.023333,11.905798,563.06,584.71,3,95.38,95.81,90.66,93.95,2.857324,90.66,95.81,3,0.2,,,,,,,-71.414727,41.777526
sample_0157,2024-08-15,10:58,2024-08-15T10:58,Fenner_Pond,Fenner Pond,Category_1,shore,1.19,1.25,1.16,1.2,0.045826,1.16,1.25,3,2.25,6,3.25,3.833333,1.941863,2.25,6,3,1.89,4.8,2.8,3.163333,1.488635,1.89,4.8,3,0.2,,,,,,,-71.420349,41.769876
sample_0158,2024-08-15,11:32,2024-08-15T11:32,Spectacle_Pond,Spectacle Pond,Category_2,shore,1.63,1.42,1.37,1.473333,0.137961,1.37,1.63,3,71.9,75.13,69.91,72.313333,2.634432,69.91,75.13,3,44.11,52.9,51.02,49.343333,4.628654,44.11,52.9,3,0.2,,,,,,,-71.441529,41.788393
